material_id,bulk_modulus
mp-30364,80.248
mp-997009,71.713
mp-954,141.127
mp-23201,39.346
mp-23438,109.77
mp-559051,106.167
mp-27456,21.78
mp-1029375,46.455
mp-4559,46.663
mp-5504,51.872
mp-674478,52.012
mp-2506699,49.604
mp-2626703,50.172
mp-556856,26.639
mp-16253,31.094
mp-527,19.668
mp-11266,26.527
mp-30426,30.641
mp-11816,34.647
mp-7899,78.484
mp-30040,33.265
mp-4887,103.462
mp-4900,109.913
mp-5663,111.403
mp-23199,26.245
mp-568662,29.053
mp-6127,84.902
mp-3988,77.551
mp-9898,51.12
mp-31145,38.096
mp-12268,53.979
mp-752398,98.185
mp-997034,76.627
mp-16254,56.726
mp-11700,43.743
mp-9503,36.445
mp-12803,85.459
mp-1029,54.086
mp-22739,56.257
mp-1219,35.919
mp-335,47.617
mp-1008506,48.357
mp-1730,30.305
mp-2611,39.558
mp-22346,74.417
mp-14006,49.629
mp-22151,65.25
mp-23715,30.008
mp-10322,104.52
mp-998552,159.196
mp-11267,23.258
mp-864618,31.615
mp-23260,16.076
mp-568536,21.274
mp-22687,33.333
mp-13545,26.708
mp-40251,141.408
mp-569396,36.665
mp-570771,39.487
mp-27454,27.21
mp-10616,34.083
mp-10250,69.602
mp-23818,37.474
mp-40189,289.195
mp-10615,37.873
mp-13277,39.363
mp-41219,21659772.647
mp-10485,30.026
mp-6504,73.809
mp-1935,21.701
mp-643264,51.372
mp-14568,59.463
mp-754515,33.215
mp-643718,36.372
mp-756018,79.228
mp-9934,35.072
mp-11820,8.587
mp-1019551,82.728
mp-31235,23.376
mp-542264,74.92
mp-867147,20.768
mp-866298,88.541
mp-28150,90.563
mp-505517,183.851
mp-3020,167.842
mp-35143,47.8
mp-2892,97.689
mp-6468,115.481
mp-7486,56.285
mp-11879,46.496
mp-1342,68.281
mp-1008500,67.199
mp-1105,65.16
mp-985439,57.169
mp-21236,79.315
mp-8557,109.369
mp-20136,24.299
mp-19799,45.434
mp-1687,73.421
mp-2606,99.329
mp-12623,53.745
mp-4009,39.963
mp-31498,49.609
mp-747,103.144
mp-811,147.734
mp-7143,118.683
mp-568430,93.554
mp-1016850,134.066
mp-3597,1442373.521
mp-5773,115.604
mp-1500,41.171
mp-239,33.079
mp-3164,51.775
mp-624668,28.581
mp-9768,54.789
mp-6950,27.116
mp-568895,44.396
mp-8606,57.332
mp-1253,35.501
mp-7547,30.263
mp-2499,32.012
mp-1477,31.472
mp-7275,52.121
mp-7655,50.296
mp-7701,51.685
mp-6764,95.182
mp-3031,58.4
mp-7339,57.994
mp-872,28.386
mp-567510,32.687
mp-11269,55.006
mp-30433,60.919
mp-571353,35.93
mp-8290,35.683
mp-11819,30.976
mp-3163,133.913
mp-984699,10.675
mp-984729,79.071
mp-753619,75.036
mp-754678,177.458
mp-4001,48.992
mp-1000,28.286
mp-2150,28.302
mp-5431,43.028
mp-8037,110.875
mp-6661,108.915
mp-3943,123.542
mp-8291,49.076
mp-2998,166.907
mp-5020,94.151
mp-5777,97.867
mp-5933,139.365
mp-5986,107.183
mp-558125,102.538
mp-7073,43.796
mp-30434,25.239
mp-865984,26.909
mp-5611,90.551
mp-3451,64.505
mp-4227,46.423
mp-768240,78.825
mp-3952,113.773
mp-902,20.356
mp-30435,27.55
mp-303,47.618
mp-30427,31.416
mp-3881,57.665
mp-11818,39.873
mp-4236,82.555
mp-510311,29.868
mp-548469,59.92
mp-31147,43.884
mp-31148,34.655
mp-560620,65.107
mp-3104,100.324
mp-3834,148.845
mp-1019544,147.064
mp-540771,69.975
mp-20,125.076
mp-87,120.019
mp-569299,194.761
mp-697136,57.926
mp-1590,179.312
mp-568912,134.036
mp-12666,125.309
mp-571438,129.504
mp-568827,144.936
mp-30441,140.051
mp-30443,151.947
mp-569364,136.579
mp-30444,133.551
mp-603,125.633
mp-1432,144.862
mp-1569,200.504
mp-867274,219.36
mp-867271,194.115
mp-867270,207.943
mp-30438,182.568
mp-2031,135.017
mp-867273,210.143
mp-865869,173.915
mp-865308,171.518
mp-865147,182.617
mp-2225,154.342
mp-865003,214.003
mp-867280,238.159
mp-1677,197.598
mp-2028,156.483
mp-11272,166.723
mp-865229,231.437
mp-866224,197.731
mp-864895,194.531
mp-864961,194.226
mp-866115,193.549
mp-862600,216.114
mp-11275,241.539
mp-866024,183.765
mp-867307,193.573
mp-865021,219.105
mp-11281,158.028
mp-11282,217.897
mp-6030,170.348
mp-983590,151.52
mp-862714,189.038
mp-18337,214.318
mp-11273,153.691
mp-865168,153.479
mp-567841,91.876
mp-865562,180.438
mp-977552,175.35
mp-27757,138.194
mp-27608,182.13
mp-1220,138.173
mp-1025010,146.818
mp-650,142.084
mp-3081,214.562
mp-4262,140.226
mp-865966,237.931
mp-862287,199.23
mp-30365,148.197
mp-12761,137.288
mp-30139,2.676
mp-15703,314.973
mp-1189451,310.237
mp-23267,3.319
mp-2773,196.762
mp-862706,201.076
mp-865901,226.523
mp-867837,254.421
mp-2323,142.088
mp-15951,21.345
mp-561543,8.258
mp-862669,219.307
mp-867840,206.038
mp-984721,189.356
mp-867116,238.142
mp-862291,200.601
mp-1009088,68.992
mp-1019550,189.429
mp-1013527,83.09
mp-862713,227.447
mp-23996,39.315
mp-570886,1.9580000000000002
mp-867828,227.135
mp-1033,182.847
mp-1778,207.897
mp-2542,208.037
mp-7599,195.52
mp-27148,89.366
mp-760410,31.26
mp-11274,173.217
mp-13452,166.194
mp-13453,158.862
mp-11276,207.982
mp-862622,270.586
mp-422,92.273
mp-5046,37.858
mp-1541,74.87
mp-1009087,76.364
mp-865904,268.28
mp-7913,220.956
mp-865792,196.801
mp-867107,286.259
mp-867835,247.221
mp-252,56.315
mp-3733,24.832
mp-866288,44.835
mp-867304,212.177
mp-867275,276.013
mp-867874,241.663
mp-550433,163.901
mp-23152,27.767
mp-23157,43.62
mp-567597,46.757
mp-23349,51.828
mp-556548,87.617
mp-618309,124.209
mp-760411,99.855
mp-23195,20.242
mp-23262,53.426
mp-1017552,118.12
mp-1105780,33.361
mp-570930,17.34
mp-568746,55.534
mp-570197,52.094
mp-1103697,50.704
mp-29259,51.718
mp-559264,36.71
mp-22864,82.069
mp-569581,35.201
mp-23341,179.413
mp-23217,82.795
mp-23445,178.102
mp-22856,21.948
mp-27891,43.238
mp-23164,16.965
mp-541837,10.752
mp-552098,77.867
mp-29666,12.946
mp-34202,14.402
mp-866311,59.352
mp-570113,100.689
mp-997082,59.145
mp-2913080,3.5300000000000002
mp-23072,18.132
mp-22908,4.002
mp-22939,26.218
mp-23237,54.467
mp-27743,13.737
mp-568388,3.863
mp-22849,2.668
mp-569157,3.613
mp-22987,16.924
mp-557993,51.48
mp-2019999,709112.83
mp-753360,44.218
mp-753594,113.68
mp-1524357,71.431
mp-23084,43.224
mp-1008488,89.644
mp-30461,83.365
mp-1064554,111.998
mp-573119,173.331
mp-971673,23.495
mp-23514,7.175
mp-23224,23.047
mp-29011,74.017
mp-29638,86.263
mp-23154,4.11
mp-28460,5.004
mp-864928,1.808
mp-23297,6.798
mp-48,115.976
mp-169,115.697
mp-568286,118.035
mp-568806,112.835
mp-569416,95.263
mp-937760,118.816
mp-2516584,113.32
mp-1167,4.638
mp-20066,4.63
mp-556034,3.848
mp-644607,4.674
mp-21,15.845
mp-45,17.224
mp-132,17.349
mp-166,16.881
mp-7878,64.213
mp-10877,81.186
mp-9690,58.788
mp-3862,59.086
mp-7704,60.78
mp-30175,62.198
