num_atoms,volume,density,a,b,c,bulk_modulus
4,48.12434491235697,7.509000832401054,3.63737667,3.63737667,3.63737667,138.447
4,60.40954960191208,13.316866060929117,4.40426591,4.40426591,4.40426591,134.721
12,294.7232745098301,2.6181093552370815,5.43511276,5.43511276,9.97693899,10.74
8,79.06978596794774,5.146334209112351,2.84277285,2.8427726300000002,11.29784621,178.355
4,39.50664505602137,5.150013926227089,5.88135224,5.881352330000001,5.88135278,156.0
4,54.396737112788344,9.2607328458487,4.25413576,4.2523589,4.25235435,161.409
4,55.01191466606725,14.509833496000828,3.48883356,3.97089364,3.97089364,194.163
8,146.4276624100075,3.507737280257928,5.28681599,5.28681607,6.43588438,82.165
8,172.5678945848965,4.781385847172727,5.58689573,5.586895459999999,6.79504529,63.574
8,218.7127976513027,5.249753020508059,6.03458634,6.0345867,7.36743748,49.905
8,85.43418371894847,3.2644233302607026,8.77423069,6.99452693,5.01761712,39.119
4,46.247118935311995,3.0152509924349626,3.58945264,3.58945264,3.58945264,124.366
2,23.03979004034681,5.969529368447323,2.845506,2.845506,2.845506,170.575
4,50.32605949357815,7.7411510017875536,4.14415485,4.14415485,4.14415485,230.256
4,42.69819169469717,6.485206202469936,3.9232094400000004,3.92320944,3.92320944,214.474
4,49.26950428312255,10.869665076095615,4.11494843,4.11494843,4.11494843,238.376
4,48.13206528737241,6.71075113789322,4.08303656,4.08303648,4.08303539,171.541
5,54.43025908535758,6.300659858216981,3.78948866,3.78990736,3.78993006,232.51
4,45.19279477883369,7.374150026064675,3.9981712900000006,3.9981719800000004,3.99817087,187.706
4,53.30348221211705,8.99179358854815,4.22431007,4.22430975,4.22431184,193.542
8,89.41568612393719,5.4260265377361305,4.47168536,4.47168536,4.47168536,177.124
4,43.641641898083975,4.745444961124575,3.14087705,3.14087705,4.42383794,183.528
4,53.19429147607412,9.419936057764597,4.22143405,4.22143405,4.22143405,214.114
8,65.66805372739232,1.5174827759961773,4.65968132,4.65968078,4.65968104,27.922
8,58.194343045433925,3.423455788985779,2.861546,4.263478,4.769974,157.945
8,63.32043991497248,3.146310430765137,6.14653375,6.14653375,3.70066778,106.355
8,68.22437336408395,2.9201552284245023,3.761468,2.9114569999999995,6.33364064,91.937
16,116.84593209084947,3.410058989990581,4.38599785,9.38706985,2.83801792,144.446
16,725.3856845196163,3.733149990683741,6.312819,9.851904959999999,12.26360959,1.042
10,112.28447673868546,5.613715613983547,3.2838204,3.2838204,12.023484,181.883
2,26.853247635479867,13.554700799561749,2.99455485,2.99455485,2.99455485,229.406
8,121.37371239503442,8.613730988141276,4.95117426,4.95117426,4.95117426,224.498
4,42.52728305356918,3.200889719466926,3.128588,3.12858827,5.016955,194.62
2,20.834546742126193,3.266813163921459,3.0886329300000006,3.08863316,3.08863425,194.648
2,23.386572118200654,6.083259318791009,2.85971129,2.85971129,2.85971129,157.34
6,67.0749546277084,7.148100744635913,3.97400285,3.9740028499999998,4.90425882,170.075
4,43.992906773844105,7.6646890391111215,3.96234744,3.9623464000000004,3.96237885,177.562
2,26.943662689344276,13.386756293091883,2.99791198,2.99791198,2.99791198,236.689
2,40.98345792798881,2.34819231374763,3.86997233,3.86997194,3.86997254,82.769
4,81.97411560347751,2.3479860731359965,3.86348275,3.8634828299999997,6.34144315,82.62
18,232.3836590457207,2.6143088999374253,4.95155234,4.951579,10.94448261,30.491
12,173.45984292045983,2.334921473522575,4.99704215,4.99704153,6.94665346,17.002
12,183.17389564524953,2.2110962405539594,5.06107896,4.98194768,8.2712865,26.709
72,1500.0763523382857,1.6199779887103984,14.09720642,14.09720642,8.715988,58.017
6,92.99269598749952,2.1776716317767493,5.11987235,5.11987145,5.11987332,23.763
12,208.8203455900867,1.9395385582967912,5.2860359400000005,5.28603595,8.62942113,121.145
7,104.80206982291962,16.37334131284474,3.91758778,3.91758778,6.82861122,218.902
12,326.3462355404596,1.8950289490233492,5.65406846,5.65501113,10.20667017,6.855
2,28.387292359827562,7.803437675261432,3.05052548,3.05052548,3.05052548,155.221
8,115.2021736885745,7.691468298095458,4.8657922,4.8657922,4.8657922,149.85
26,372.68846213116615,7.726936462223775,9.19692258,9.196922649999998,9.19692389,149.807
12,172.41121295032158,9.239144661166609,4.07169292,5.41975902,7.81286848,157.601
24,352.1224328557288,10.546067514392966,4.00296752,8.1327944,10.8161284,160.22
8,168.53989669793597,8.009002170492655,4.078309929999999,4.078310369999999,10.53546241,15.439
8,116.13799235875254,12.700357401288317,4.87893207,4.87893207,4.87893207,179.259
12,175.27885895490226,15.807795887249025,4.07676199,5.41251351,7.94356012,203.954
24,351.07281950517887,15.784602348961581,3.92456872,5.46447677,16.37030176,205.051
4,58.86077030293721,17.271906312407015,3.88993174,3.88993174,3.88993174,224.023
16,236.14101209420022,17.220858014157887,5.482425330000001,5.48238079,7.85650693,218.746
3,42.767473563189995,15.507390092092626,2.99427143,2.99427127,5.21891689,244.694
2,26.39232346092043,8.172168034428076,2.97732247,2.97732247,2.97732247,194.408
2,26.530129203021556,8.014834042210397,2.98249544,2.98249544,2.98249544,203.483
2,59.15180867694538,4.175546640771407,4.37348508,4.37348463,4.37348589,49.576
4,118.23050908061613,4.17812860550503,4.36182056,4.3618176,7.1756965,49.329
6,61.01378793120875,5.789865915749713,3.01452656,4.49953692,4.49953692,197.857
4,50.652028138900135,8.432087560744778,4.15160169,4.15160169,4.15160169,230.759
10,304.8783183768864,4.76974111152618,6.88931547,6.88931598,7.41726321,14.548
3,41.78469765394648,8.861367373283404,2.97505352,2.9750535199999995,5.1684306,224.534
